HOSPITAL NAME,CITY,AREA,ADDRESS,DOCTORS,CONTACT
Karachi Medical Complex Hospital,Karachi,0,"Karachi Medical Complex Hospital, Suit# 4 And 5, Mehran Extension Apartments, Pi, Fl # 24 And 25, Al Rae Road, Opposite Advance Lab Bi 16, Gulshan E Iqbal, Karachi",3,3322173522
"Institute Of Clinical Psychology, University Of Karachi",Karachi,0,"Institute Of Clinical Psychology, University Of Karachi, Block 20, Gulistan-E-Johar, Karachi",-,(021)34613584
Dr Insaaf Ali Clinic (Umm-Ul-Shifa Laboratory),Karachi,0,"Dr Insaaf Ali Clinic (Umm-Ul-Shifa Laboratory), Allama Iqbal Road, Near Gujjar Chowk, Manzoor Colony, Karachi",1,2135888000
Western Dental Laboratory Hospital,Karachi,0,"Western Dental Laboratory Hospital, Banglow # 2, Fl-6, Near Muskan Chowrangi, Block 2, Gulshan Iqbal, Karachi",2,(021) 34971637
Chugtai Lab & Clinic,Karachi,0,"Chugtai Lab & Clinic, Shop No 10 Opposite Darul Sehat Hospital Near Delicacy Baker Block 13, Gulistan E Johar, Karachi",1,3111456789
City Genereal Hospital,Karachi,0,"City Genereal Hospital, Malir Kalaborad, Malir, Karachi",-,3330122256
Crown Dental Clinic,Karachi,0,"Crown Dental Clinic, H No.123 Block 3 Street 10 Maqboolabad Sharfabad, Gulberg Town, Karachi",1,3012363127
Shifa Lab & Diagnostics Hospital,Karachi,0,"Shifa Lab & Diagnostics Hospital, Sarhandi Heights, Off Haji Ismail Road, Beside Khairani Mosque, Naw Abad Hamara Lyari, Karachi, Karachi",2,2132520786
Al-Hilal Medical Diagnostic Center,Karachi,0,"Al-Hilal Medical Diagnostic Center, Banglow # D-9, Pechs Block 6 Near Hotel Faran (Nursery) Shahrah-E-Faisal – Karachi - Pakistan. City, Karachi, Shahrah-E-Faisal – Karachi - Pakistan. City, Karachi, Karachi",-,92217780111
Amber Medical And Diagnostic Center,Karachi,0,"Amber Medical And Diagnostic Center, Sahba Akhtar Rd, Block 13D-2, Gulshan E Iqbal,, Karachi",1,3002132376
Attiyas Dental Empire Hospital,Karachi,0,"Attiyas Dental Empire Hospital, Bungalow # 213, Near Karachi Laboratory Opposite Children Park, Siraj Ud Daula Road, Bahadarabad, Karachi",1,33534392211
Chughtai Lab Hospital,Karachi,0,"Chughtai Lab Hospital, R-13 Sector 5C-5, Adjacent Jama-E-Masjid Qubba, North Karachi, Karachi",-,3454015074
Clinical Advisors,Karachi,0,"Clinical Advisors, B 24, Block - 5, Sardar Ali Sabri Road,Gulshan-E-Iqbal, Gulshan-E-Iqbal, Karachi",1,3111565111
Datar Dental Clinic & Lab,Karachi,0,"Datar Dental Clinic & Lab, D-582, Near Baldia Hospital, Korangi No 2, Korangi, Karachi",1,2135070617
Dental Diagnostic Center,Karachi,0,"Dental Diagnostic Center, Shop No.11, Avanti Terrace, 148-A Allama Iqbal Rd, Block 2, Pechs, Karachi",-,042-32591432
Dr Essa Laboratory & Diagnostic Center,Karachi,0,"Dr Essa Laboratory & Diagnostic Center, Al-Rahman Tower, Main Shaheed-E-Millat Rd, Jinnah Society Pechs, Shaheed E Millat Road, Karachi",-,2134374052
Dr Johar Homeo Clinic,Karachi,0,"Dr Johar Homeo Clinic, Bs-4/17 Madina Center, Opp Agha Khan Lab, F. B. Area Block 17, Samnabad, Karachi",1,3452203957
Essa Lab Dental Clinic,Karachi,0,"Essa Lab Dental Clinic, Javaid Arcade, Block-17, Gulistan E Jauhar, Karachi",2,3362458683
